first_mask_hex,second_mask_hex,obligations,rows,body_fnv
00c045d4,12c14242,1,1,2b6cf5f735b80f7e
00c045d4,18450a81,1,1,cfb826b3970801da
0200813f,02a08325,1,1,9e8ffafc25403a55
0200813f,08982089,1,1,3fc6e84aa69f09e1
02008751,1a04a440,1,1,2ee866d560e13dd
1204003f,18450a81,1,1,1b1f25f79f01cc4b
1204003f,32850206,1,1,bb78f813b522167b
1204003f,32c01c00,1,1,a32d91cac94189a9
12cc9000,284a0892,1,1,1af677ca56a3e9a8
15600085,1d410801,1,1,3348f6826639c7aa
1a462002,32c01c00,1,1,77ca28767591f557
288216c0,3882a082,1,1,ea6dd1c097c938a2
