q,r,body_hex,truncated_mass_ticks,truncated_surplus,full_mass_ticks,full_surplus,omitted_high_rank_ticks
50,589,0018e609,504127064065066,20450486197881558,504127064065066,20450486197881558,0
50,589,0018f601,444489764172402,16693336304643726,444489764172402,16693336304643726,0
50,589,0018f602,444307301227036,16681841139085668,444307301227036,16681841139085668,0
50,589,0018f604,444108099693908,16669291442498604,444108099693908,16669291442498604,0
50,589,0018f608,463225434301578,17873683522781814,463225434301578,17873683522781814,0
50,589,0018f610,472907745343696,18483669118435248,472907745343696,18483669118435248,0
50,589,0019e403,458896058822292,17600932867586796,458896058822292,17600932867586796,0
50,589,0019e405,449202939023228,16990266320245764,449202939023228,16990266320245764,0
50,589,0019e409,513329196138694,21030220518520122,513329196138694,21030220518520122,0
50,589,0019e411,472780954318322,18475681283836686,472780954318322,18475681283836686,0
50,589,0019e421,471854635658172,18417323208247236,471854635658172,18417323208247236,0
50,589,0019e441,491120764152382,19631089303382466,491120764152382,19631089303382466,0
50,589,0019e481,468889151540160,18230497708812480,468889151540160,18230497708812480,0
50,589,0019e501,503546522953890,20413912107877470,503546522953890,20413912107877470,0
50,589,0019e601,492310668968872,19706053306821336,492310668968872,19706053306821336,0
50,589,0019ec01,491229188334300,19637920026843300,491229188334300,19637920026843300,0
50,589,0019f401,449245862262600,16992970484326200,449245862262600,16992970484326200,0
50,589,0019f402,445656544865662,16766843488319106,445656544865662,16766843488319106,0
50,589,0019f404,454495640486134,17323706512408842,454495640486134,17323706512408842,0
50,589,0019f408,469702440768964,18281734930227132,469702440768964,18281734930227132,0
50,589,0019f410,477486899124352,18772155806616576,477486899124352,18772155806616576,0
50,589,001be401,486429844964544,19335561394548672,486429844964544,19335561394548672,0
50,589,001c5445,473011655711094,18490215471581322,473011655711094,18490215471581322,0
50,589,001c5605,432615395625040,15945251086159920,432615395625040,15945251086159920,0
50,589,001c560c,453871508042154,17284386168438102,453871508042154,17284386168438102,0
50,589,001c7441,470646582137634,18341215836453342,470646582137634,18341215836453342,0
50,589,001c7601,423040134906692,15342009660903996,423040134906692,15342009660903996,0
50,589,001c7602,442023126542194,16537938133940622,442023126542194,16537938133940622,0
50,589,001c7604,430172739680366,15791363761645458,430172739680366,15791363761645458,0
50,589,001c7608,448142290397566,16923445456829058,448142290397566,16923445456829058,0
50,589,001c7610,467627536832164,18151015982208732,467627536832164,18151015982208732,0
50,589,001c7620,435412416024894,16121463371350722,435412416024894,16121463371350722,0
50,589,001c7700,449146405010064,16986704677416432,449146405010064,16986704677416432,0
50,589,001ce601,438016592841212,16285526510778756,438016592841212,16285526510778756,0
50,589,001cf600,454481817907194,17322835689935622,454481817907194,17322835689935622,0
50,589,001d5405,453836213237792,17282162595763296,453836213237792,17282162595763296,0
50,589,001d7401,439014266822532,16348379971601916,439014266822532,16348379971601916,0
50,589,001d7420,456019019007414,17419679359249482,456019019007414,17419679359249482,0
50,589,001d7500,460085859388674,17675890303268862,460085859388674,17675890303268862,0
50,589,001de401,455047074478712,17358446853941256,455047074478712,17358446853941256,0
50,589,001df400,466355760249954,18070894057529502,466355760249954,18070894057529502,0
50,589,001e5604,454470800858086,17322141615841818,454470800858086,17322141615841818,0
50,589,0039e401,438692605618280,16328115315734040,438692605618280,16328115315734040,0
50,589,003c5405,461876676406896,17788711775416848,461876676406896,17788711775416848,0
50,589,003c6403,426986249260944,15590614865221872,426986249260944,15590614865221872,0
50,589,003c6601,412892016848752,14702678223253776,412892016848752,14702678223253776,0
50,589,003c6602,440626250536764,16449934945598532,440626250536764,16449934945598532,0
50,589,003c6604,430022520201256,15781899934461528,430022520201256,15781899934461528,0
50,589,003c6608,439750599596106,16394768936337078,439750599596106,16394768936337078,0
50,589,003c6610,457655484442774,17522776681677162,457655484442774,17522776681677162,0
50,589,003c6620,444677873041724,16705187163411012,444677873041724,16705187163411012,0
50,589,003c6700,455252426161034,17371384009927542,455252426161034,17371384009927542,0
50,589,003c7401,458300453428848,17563409727799824,458300453428848,17563409727799824,0
50,589,003ce600,446204979539424,16801394872766112,446204979539424,16801394872766112,0
50,589,003d6401,433249079315552,15985173158662176,433249079315552,15985173158662176,0
50,589,003d6402,456689424928744,17461914932293272,456689424928744,17461914932293272,0
50,589,003d6404,449547062588836,17011946104879068,449547062588836,17011946104879068,0
50,589,003d6420,465133208815684,17993873317170492,465133208815684,17993873317170492,0
50,589,003d6500,468083088817304,18179715757272552,468083088817304,18179715757272552,0
50,589,003de400,459578424226784,17643921888069792,459578424226784,17643921888069792,0
50,589,003e5404,482326531579542,19077052651293546,482326531579542,19077052651293546,0
50,589,003e6402,478109167373226,18811358706295638,478109167373226,18811358706295638,0
50,589,0054540b,477676577278218,18784105530310134,477676577278218,18784105530310134,0
50,589,0058d601,457693931387212,17525198839176756,457693931387212,17525198839176756,0
50,589,0058d608,471485688021088,18394079507110944,471485688021088,18394079507110944,0
50,589,0059e401,495376474307780,19899199043172540,495376474307780,19899199043172540,0
50,589,005ad402,463484149515426,17889982581254238,463484149515426,17889982581254238,0
50,589,005c4407,446535271668936,16822203276925368,446535271668936,16822203276925368,0
50,589,005c440b,473721039608256,18534906657102528,473721039608256,18534906657102528,0
50,589,005c4603,437220687841526,16235384495798538,437220687841526,16235384495798538,0
50,589,005c4609,469728215069764,18283358711177532,469728215069764,18283358711177532,0
50,589,005c460c,440857932672932,16464530920177116,440857932672932,16464530920177116,0
50,589,005c5403,435955208630454,16155659305501002,435955208630454,16155659305501002,0
50,589,005c5405,429251671054080,15733336438189440,429251671054080,15733336438189440,0
50,589,005c5601,432796823395992,15956681035729896,432796823395992,15956681035729896,0
50,589,005c5608,453636926912816,17269607557289808,453636926912816,17269607557289808,0
50,589,005c6601,446303805367370,16807620899926710,446303805367370,16807620899926710,0
50,589,005c6604,472378952293444,18450355156269372,472378952293444,18450355156269372,0
50,589,005c7401,460751477529282,17717824246127166,460751477529282,17717824246127166,0
50,589,005cf400,508286608916046,20712537523493298,508286608916046,20712537523493298,0
50,589,005d4403,454875583728482,17347642936676766,454875583728482,17347642936676766,0
50,589,005d6401,467268421008800,18128391685336800,467268421008800,18128391685336800,0
50,589,007c4403,430497254691084,15811808207320692,430497254691084,15811808207320692,0
50,589,007c4608,444904664503466,16719475025500758,444904664503466,16719475025500758,0
50,589,007c6401,448241164056702,16929674497354626,448241164056702,16929674497354626,0
50,589,007ce400,498290847130926,20082804531030738,498290847130926,20082804531030738,0
50,589,007e4402,471091103399616,18369220675958208,471091103399616,18369220675958208,0
50,589,00987601,474379837500582,18576410924319066,474379837500582,18576410924319066,0
50,589,00987602,501370408277336,20276816883254568,501370408277336,20276816883254568,0
50,589,00987604,476529097968768,18711814333814784,476529097968768,18711814333814784,0
50,589,00987608,494811247595678,19863589760310114,494811247595678,19863589760310114,0
50,589,00987610,516663884147996,21240305863106148,516663884147996,21240305863106148,0
50,589,00997401,483138793814430,19128225172091490,483138793814430,19128225172091490,0
50,589,0099e401,498137581713850,20073148809754950,498137581713850,20073148809754950,0
50,589,00bc6401,453166884685308,17239994896956804,453166884685308,17239994896956804,0
50,589,01086c07,450512465165646,17072766467218098,450512465165646,17072766467218098,0
50,589,01086c0d,456760493565324,17466392256397812,456760493565324,17466392256397812,0
50,589,01086c15,448191441594546,16926541982238798,448191441594546,16926541982238798,0
50,589,01086c25,465240984984906,18000663215831478,465240984984906,18000663215831478,0
50,589,01086c45,451242661336116,17118768825957708,451242661336116,17118768825957708,0
