q,r,body_hex,hits,first_mask_hex,second_mask_hex
96,590,045c6401,2,1ba21000,39201280
96,590,35624400,2,0200813f,08982089
100,590,07485408,2,1094a801,38112a80
100,590,150ad400,1,08412a89,
100,590,34306401,2,014c9084,0b421208
105,590,0019f401,2,19420288,1d260020
105,590,04187409,2,29070a80,32850206
105,590,04187601,2,1284812c,19628008
105,590,041a7401,2,1284812c,32850206
105,590,05107409,2,284a0892,32850206
105,590,05107484,2,28438809,28490a09
105,590,05306488,2,12cc9000,32850206
105,590,05306608,2,12cc9000,284a0892
105,590,0c187401,2,1284812c,32850206
105,590,0c983401,2,1104c086,2144c124
105,590,0d18b002,2,00c045d4,20c44540
105,590,0d18b004,2,12c14242,20c44540
105,590,0d98b000,1,1204003f,
105,590,152ae000,2,02501483,02541409
105,590,2d90b000,2,100f0089,1204003f
210,590,0019f401,0,,
210,590,0019f408,1,15600085,
210,590,001d7408,2,03208321,15600085
210,590,011d7400,2,2e828008,32a0800a
210,590,01999088,1,38662000,
210,590,03991088,1,38662000,
210,590,03993008,2,1420c4c0,14248083
210,590,04183249,1,13804482,
210,590,04183348,2,13804482,32048481
210,590,04183609,1,11e0c040,
210,590,0418360c,2,0184c121,11e0c040
210,590,04183628,1,11e0c040,
210,590,04183708,1,11e0c040,
210,590,04187248,2,19048125,32048481
210,590,04187409,1,29070a80,
210,590,04187481,2,1284812c,32a0800a
210,590,04187608,1,19048125,
210,590,0418b083,2,11c24240,31240608
210,590,0418b089,2,11c24240,12c14242
210,590,0418b0c1,1,31240608,
210,590,0418b0c8,2,23804501,31250201
210,590,0418b241,2,13804482,2842488c
210,590,0418b248,2,13804482,23804501
210,590,0418b281,0,,
210,590,0418b288,1,23804501,
210,590,0418b308,2,13804482,318404c0
210,590,0418b481,2,11c24240,12c14242
210,590,0418b601,1,2842488c,
210,590,0418b602,2,08834149,2842488c
210,590,0418b604,1,08834149,
210,590,0418b608,0,,
210,590,0418b610,2,08834149,2842488c
210,590,0418bc01,2,11c24240,12c14242
210,590,0418d288,2,18672040,38662000
210,590,0418f081,1,31240608,
210,590,0418f088,1,31250201,
210,590,0418f201,2,134004c8,318404c0
210,590,0418f208,1,318404c0,
210,590,0418f600,2,1204003f,1806001f
210,590,04193428,2,11c24240,11e0c040
210,590,04193508,2,11c24240,11e0c040
210,590,04197408,2,03208321,19048125
210,590,0419b081,2,11c24240,31240608
210,590,0419b088,2,11c24240,23804501
210,590,0419b401,2,11c24240,2842488c
210,590,0419b402,2,11c24240,2842488c
210,590,0419b404,1,11c24240,
210,590,0419b408,1,11c24240,
210,590,0419b410,2,11c24240,2842488c
210,590,0419d088,1,38662000,
210,590,0419f008,2,08a206c1,318404c0
210,590,0419f400,2,1204003f,1806001f
210,590,041a9601,2,32c06002,33046080
210,590,041a9602,2,11642081,33046080
210,590,041a9680,2,1204003f,32c06002
