mask_hex,rank,joint,active_rows,first_q,first_r,row_support_fnv
0038940c,8,0,385,100,636,148d21852d2dd4b8
0080728a,8,0,387,294,636,137a98e339174982
22506180,8,0,376,256,636,163239be70d2de05
11003981,8,0,317,294,636,1e1d2e939603e1b9
34128a00,8,0,365,100,636,bf6faa268401b069
0804c21a,8,0,1,538,623,2a0d55ce5ac5c44
08984038,8,0,243,294,636,b730c65db401b66d
00224a85,8,0,33,294,636,8ab2f4e605c0409f
35900810,8,0,370,100,636,e6894c60f4fe6222
005c410a,8,0,83,294,636,f3a64f9bbb5a048e
08021247,8,0,20,372,630,2159efff18357484
0a1402c8,8,0,4,282,624,688d43b3f3d207d1
0a6810c0,8,0,355,100,636,6970c2fd573b96
340120c4,8,0,242,294,636,7b1e5d52a5d07434
08914602,8,0,192,294,636,a049f2840a6e7edc
01129211,8,0,377,100,636,3c31f39c05a719eb
281a0070,8,0,185,294,636,ee6c6d51001f7452
34508300,8,0,350,100,636,71dbf8e893224f37
0244c80c,8,0,129,294,636,f065c974ee6f17f9
00e04245,8,0,18,338,636,65ef91b30a819605
1100511c,8,0,56,338,636,562369e260e66881
25089048,8,0,382,100,636,7b6566e23a6f1a58
00389806,8,0,263,294,636,99de0d841187a2f
0c432401,8,0,376,256,636,2a4b17712dfa1378
11300c09,8,0,391,100,636,38e567eb72a62c3e
02c43108,8,0,163,338,636,4d14888e8fffa33e
13285100,8,0,391,100,636,38e567eb72a62c3e
14100233,8,0,13,294,632,926373c0b16f832c
11a18220,8,0,2,338,628,de6738caa3ec8630
040c2161,8,0,89,294,636,52fafcc998377ff7
30c14300,8,0,342,294,636,d109c0399d42ce35
30203310,8,0,187,306,635,ceb996ee4a27d081
100429a2,8,0,1,538,623,2a0d55ce5ac5c44
0688a009,8,0,390,100,636,4a3445d7f92e7ba3
061a2041,8,0,345,294,636,a3c4a1f9477038d1
28700406,8,0,18,332,630,59db9340922c9817
21509401,8,0,391,100,636,38e567eb72a62c3e
05520860,8,0,234,294,636,7eca5f7c5228c9db
2204c0a2,8,0,48,294,636,588e84c36bc353c
20192103,8,0,286,294,636,2a8f049ef151bb6a
2e018802,8,0,248,294,636,c96af5cd614dc4d3
2088b280,8,0,385,294,636,957bd083cc6782bb
049a00a2,8,0,198,294,636,23a57785ebced061
00822685,8,0,301,256,636,88ef309d0b35b6d0
05145018,8,0,391,100,636,38e567eb72a62c3e
0c1cc020,8,0,369,100,636,22dfac04aa73c220
11045809,8,0,391,100,636,38e567eb72a62c3e
000662c8,8,0,232,294,636,c97caa440ee4d546
10451700,8,0,127,294,636,47210d22de28d65b
03654100,8,0,273,294,636,979716318e8df34f
0b20a208,8,0,366,100,636,397e3f2a0bd5434f
05850422,8,0,194,294,636,3841ad8491136128
21202c60,8,0,26,416,630,d22a9f957818241
13840144,8,0,114,338,636,943f8cedf3991bd
26108061,8,0,307,100,636,b5ec1c0923a30c28
061c8014,8,0,359,100,636,491ca5ad7c3ff019
02489a10,8,0,12,338,636,5be7389a57c74c73
04468182,8,0,8,294,636,c275cd49f2555ada
03044681,8,0,383,100,636,9552cb54feddfd98
